date,order,unit,qty
1514023289000,ask,18649000,0.1532
1514023288000,bid,18650000,1.01965351
1514023288000,bid,18650000,0.73
1514023288000,bid,18650000,0.03
1514023288000,bid,18650000,0.01
1514023295000,ask,18649000,0.0007
1514023294000,ask,18649000,0.5561
1514023294000,ask,18649000,1.4438
1514023294000,ask,18649000,0.3989
1514023293000,ask,18649000,0.0053
1514023292000,bid,18650000,0.143
1514023292000,ask,18649000,0.1
1514023291000,bid,18650000,0.22971866
1514023291000,ask,18649000,0.6983
1514023289000,ask,18649000,0.1532
1514023288000,bid,18650000,1.01965351
1514023288000,bid,18650000,0.73
1514023288000,bid,18650000,0.03
1514023288000,bid,18650000,0.01
1514023297000,ask,18649000,0.0323
1514023295000,ask,18649000,0.0007
1514023294000,ask,18649000,0.5561
1514023294000,ask,18649000,1.4438
1514023294000,ask,18649000,0.3989
1514023293000,ask,18649000,0.0053
1514023292000,bid,18650000,0.143
1514023292000,ask,18649000,0.1
1514023291000,bid,18650000,0.22971866
1514023291000,ask,18649000,0.6983
1514023289000,ask,18649000,0.1532
1514023288000,bid,18650000,1.01965351
1514023288000,bid,18650000,0.73
1514023288000,bid,18650000,0.03
1514023297000,bid,18650000,0.5361
1514023297000,ask,18649000,0.0323
1514023295000,ask,18649000,0.0007
1514023294000,ask,18649000,0.5561
1514023294000,ask,18649000,1.4438
1514023294000,ask,18649000,0.3989
1514023293000,ask,18649000,0.0053
1514023292000,bid,18650000,0.143
1514023292000,ask,18649000,0.1
1514023291000,bid,18650000,0.22971866
1514023291000,ask,18649000,0.6983
1514023289000,ask,18649000,0.1532
1514023288000,bid,18650000,1.01965351
1514023288000,bid,18650000,0.73
1514023298000,ask,18649000,0.1
1514023297000,bid,18650000,0.5361
1514023297000,ask,18649000,0.0323
1514023295000,ask,18649000,0.0007
1514023294000,ask,18649000,0.5561
1514023294000,ask,18649000,1.4438
1514023294000,ask,18649000,0.3989
1514023293000,ask,18649000,0.0053
1514023292000,bid,18650000,0.143
1514023292000,ask,18649000,0.1
1514023291000,bid,18650000,0.22971866
1514023291000,ask,18649000,0.6983
1514023289000,ask,18649000,0.1532
1514023288000,bid,18650000,1.01965351
1514023300000,bid,18680000,0.1
1514023300000,bid,18680000,0.9
